City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1643,Nsanje,MW,88.83,few clouds,-16.92,35.262,Nsanje Discovery Lodge
1644,Lardos,GR,74.95,few clouds,36.0942,28.0157,Lindos Princess Beach Hotel
1645,Shahe,CN,68.31,overcast clouds,39.2708,113.5478,五台山宾馆
1646,Riachao Das Neves,BR,75.4,clear sky,-11.7461,-44.91,Casa Costa
1647,Mae Sai,TH,83.52,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
1648,Riberalta,BO,78.17,clear sky,-10.9833,-66.1,Hotel Colonial
1649,Jabinyanah,TN,75.0,clear sky,35.035,10.9081,maison belmabrouk
1650,Shakawe,BW,80.8,clear sky,-18.3667,21.85,Ditlhapi Guest House
1651,Kapit,MY,86.18,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
1652,Kerman,IR,76.86,clear sky,30.2832,57.0788,هتل آپارتمان آسام
1653,Pandan,PH,85.98,broken clouds,14.0453,124.1694,Bonifacio Lodge
1654,Igunga,TZ,80.74,few clouds,-4.2833,33.8833,Victoria Lodge
1655,Kigoma,TZ,83.23,scattered clouds,-4.8769,29.6267,MJI Mwema Lodge
1656,Sulangan,PH,84.79,overcast clouds,11.1373,123.7228,Maia's Beach Resort
1657,Tarime,TZ,75.2,few clouds,-1.35,34.3667,Kifa Best Point Hotel
1659,Karaton,ID,89.76,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
1660,Kota Kinabalu,MY,85.98,light rain,5.9749,116.0724,Gaya Centre Hotel
1663,Piranhas,BR,72.48,broken clouds,-16.4269,-51.8222,Planalto Hotel
1664,Gravatai,BR,66.24,mist,-29.9444,-50.9919,Hotel Gravataí Center
1666,Ranau,MY,79.45,scattered clouds,5.9538,116.6641,The Second Room
1670,Lundazi,ZM,80.28,overcast clouds,-12.2929,33.1782,"Stones Hotel, Lundazi"
1671,Arecibo,PR,80.2,clear sky,18.4724,-66.7157,Atlantic Sand Oasis
1672,Yabrud,SY,67.53,clear sky,33.9674,36.6574,المنزل
1673,Cabano,PH,84.87,overcast clouds,10.5869,122.7002,The Clara Beach and Guest House (official)
1674,Aguimes,ES,70.43,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
1675,Emerald,AU,87.94,scattered clouds,-23.5333,148.1667,The Irish Village
1676,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
1678,Saluzzo,IT,67.53,overcast clouds,44.6464,7.4862,Antico Podere Propano
1681,Grand-Lahou,CI,74.05,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
1683,Holland,US,70.41,few clouds,42.7875,-86.1089,Hampton Inn Holland
1685,Mucurapo,TT,77.97,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
1687,Pringsewu,ID,85.23,overcast clouds,-5.3582,104.9744,Urban Style by Front One
1688,Kennewick,US,72.12,clear sky,46.2113,-119.1372,Clover Island Inn
1690,Acapulco,MX,77.97,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
1691,Ekangala,ZA,70.3,clear sky,-25.6962,28.7492,Mbal'enhle Guest House
1692,Aplaya,PH,84.61,scattered clouds,8.6086,124.7681,Kahulugan Spring Resort
1693,Ermoupolis,GR,77.9,clear sky,37.4423,24.9425,Ploes
1698,Kathu,TH,75.02,light rain,7.9178,98.3332,Novotel Phuket Resort
1700,Santa Rosa,PH,87.78,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
1701,Divo,CI,69.96,overcast clouds,5.8397,-5.36,Hôtel IROKO
1702,Kundiawa,PG,70.02,light rain,-6.0167,144.9667,Pari
1703,Wuda,CN,78.51,overcast clouds,39.4994,106.7117,Grape Sightseeing Garden
1704,Sumbe,AO,71.6,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
1707,Adeje,ES,72.95,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
1708,Feijo,BR,73.27,few clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
1709,Mathbaria,BD,89.87,overcast clouds,22.2876,89.9593,Shikdar Hotel
1710,Horadiz,AZ,66.97,clear sky,39.4488,47.3353,Horadiz Olympic Center
1711,Copperas Cove,US,71.04,clear sky,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
1712,Kambove,CD,80.19,overcast clouds,-10.8764,26.5969,Couvant des soeurs catholiques
1713,Mpulungu,ZM,85.5,scattered clouds,-8.7623,31.1141,Chela moche guest house
1714,Payo,ID,85.1,overcast clouds,-3.7508,103.6372,Mess keban agung
1715,Sayyan,YE,67.14,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
1718,Gangtok,IN,74.5,broken clouds,27.3333,88.6167,Hotel Le Primula
1720,Kasongo,CD,78.48,scattered clouds,-4.45,26.6667,Guest Hôtel
1721,Batesville,US,65.08,clear sky,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
1722,Santa Flavia,IT,76.37,overcast clouds,38.085,13.5351,La Caletta
1723,Ceyhan,TR,78.64,clear sky,37.0247,35.8175,Ilbeyli Kiz Ogrenci Yurdu
1724,Etchoropo,MX,84.74,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
1725,Bensonville,LR,72.95,heavy intensity rain,6.4461,-10.6125,Moinga
1726,Oriximina,BR,74.25,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
1729,Malabor,PH,82.92,light rain,11.2729,122.0466,Kasa Raya Inn
1732,Ito,JP,76.77,clear sky,34.9667,139.0833,伊東小涌園
1734,Catuday,PH,84.83,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
1736,San Angelo,US,72.32,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
1737,Bani Walid,LY,71.31,scattered clouds,31.7566,13.9942,منزل الصابر أبوفانة
1741,La Palma,US,67.82,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
1742,Rabaul,PG,82.94,light rain,-4.1967,152.1721,Rabaul Hotel
1745,Yongan,CN,71.08,overcast clouds,39.6957,113.6871,Beiyue International Hotel
1748,Belmopan,BZ,79.3,overcast clouds,17.25,-88.7667,Villa San Juan
1749,Asyut,EG,73.58,clear sky,27.181,31.1837,Florence Hotel Assiut
1751,Kailua,US,80.58,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
1752,Anori,BR,73.27,clear sky,-3.7728,-61.6442,Novo Hotel 05 Irmaos
1755,Portoferraio,IT,74.98,fog,42.8115,10.3146,Hotel Villa Ombrosa
1756,Gladstone,AU,71.53,light rain,-23.85,151.25,Highpoint International
1758,Sydney,AU,65.89,few clouds,-33.8679,151.2073,The Grace Sydney
1760,Polewali,ID,87.1,broken clouds,-3.4324,119.3435,Lilianto Hotel
1762,Manado,ID,86.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
1763,Billings,US,71.37,clear sky,45.7833,-108.5007,Best Western Plus Clocktower Inn
1764,Black River,JM,82.4,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
1767,Union,US,66.11,overcast clouds,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
1769,Sao Jose Da Coroa Grande,BR,75.38,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
1771,Belance,PH,82.63,few clouds,16.1833,121.25,Sea of Clouds Dupax Norte Nueva Vizcaya
1772,Mporokoso,ZM,82.02,few clouds,-9.3727,30.125,Government Guest House
1773,Idenao,CM,74.64,light rain,4.2475,9.0047,Moland Beach Resort
1774,Babahoyo,EC,71.73,overcast clouds,-1.8167,-79.5167,CASA LOS VERGARA
1776,Humaita,BR,73.22,clear sky,-7.5061,-63.0208,Corrêa Hotel
1778,Uige,AO,69.4,overcast clouds,-7.6087,15.0613,Hotel Catraio
1779,Kendari,ID,85.44,overcast clouds,-3.945,122.4989,Hotel Wixel
1781,Catia La Mar,VE,80.8,clear sky,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
1785,Greenfield,US,71.08,clear sky,42.9614,-88.0126,Brewtown Eatery Bar & Grill
1786,Coronado,US,68.32,overcast clouds,32.6859,-117.1831,El Cordova Hotel
1791,Jasper,US,75.25,clear sky,37.2001,-94.3502,Guest House Motel
1792,Kosum Phisai,TH,90.01,overcast clouds,16.2486,103.0674,Banrao
1794,Kamina,CD,82.99,few clouds,-8.7386,24.9906,Guest House Florvia
1798,De Aar,ZA,82.0,broken clouds,-30.6497,24.0123,Nyibiba Guesthouse
1800,Nortelandia,BR,75.11,broken clouds,-14.4547,-56.8028,Hotel Karysmã
1801,Battle Creek,US,66.74,clear sky,42.3212,-85.1797,McCamly Plaza Hotel
1802,Charthawal,IN,92.39,clear sky,29.55,77.5833,Golden Tant House
1803,Sainte-Rose,GP,77.04,few clouds,16.3324,-61.6979,Villa - Duzer
1804,Yining,CN,90.68,overcast clouds,29.0361,114.5636,Xiushui Hotel
1806,Paka,MY,87.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
1807,Xinzhou,CN,72.9,overcast clouds,38.4092,112.7333,Shell Hotel - Xinzhou
1808,Cape Coast,GH,75.45,broken clouds,5.1053,-1.2466,Samrit Hotel
1809,Nha Trang,VN,87.8,few clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
1815,Pascagoula,US,66.24,clear sky,30.3658,-88.5561,Regency Inn
1817,Vidalia,US,65.98,clear sky,32.2177,-82.4135,Quality Inn & Suites
1819,Huangyan,CN,85.6,clear sky,28.6478,121.2594,景和商务酒店
1820,Dawei,MM,82.09,overcast clouds,14.0833,98.2,Hotel Dawei
1821,Novo Aripuana,BR,73.85,clear sky,-5.1206,-60.3797,POUSADA Flexy
1822,Trinidad,BO,79.86,few clouds,-14.8333,-64.9,Hotel Piesta
1826,Popondetta,PG,83.17,overcast clouds,-8.7537,148.2534,Timos Transit House
1829,Sari,IR,69.39,few clouds,36.5633,53.0601,Tajan Inn
1832,Yamada,JP,65.95,few clouds,39.4667,141.95,Iroha-ya Inn
1833,Srikakulam,IN,79.07,moderate rain,18.3,83.9,Sriram residency
1835,Zaranj,AF,82.36,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
1837,Raichur,IN,77.9,light rain,16.2,77.3667,Hotel CM Residency
1841,Marratxi,ES,69.91,clear sky,39.6421,2.7539,S'Hort de Son Caulelles
1842,Tamale,GH,74.91,overcast clouds,9.4008,-0.8393,Tap Hotel
