City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1990,Prescott,US,34.54,-112.4685,56.89,94,1,1.99,clear sky
1991,Jackson,US,42.4165,-122.8345,66.07,54,1,3.44,clear sky
1992,Nova Mayachka,UA,46.6,33.2271,57.92,45,7,10.87,clear sky
1993,Mamallapuram,IN,12.6264,80.1722,91.45,51,100,10.92,overcast clouds
1994,Bushehr,IR,28.9684,50.8385,86.02,35,0,12.01,clear sky
1995,Bontang,ID,0.1333,117.5,83.61,77,37,7.36,scattered clouds
1996,Beaverlodge,CA,55.2166,-119.4361,43.95,97,100,5.41,overcast clouds
1997,Luena,AO,-11.7833,19.9167,77.45,38,21,6.33,few clouds
1998,Bhaderwah,IN,32.9784,75.7186,80.55,56,41,3.65,scattered clouds
1999,Ciudad Bolivar,VE,8.1222,-63.5497,77.23,85,27,5.5,scattered clouds
2000,Perehonivka,UA,48.5355,30.5192,55.74,61,6,7.78,clear sky
2001,Rabo De Peixe,PT,37.8,-25.5833,68.27,97,75,6.91,broken clouds
2002,Margherita,IN,27.2833,95.6833,96.28,49,14,3.67,few clouds
2003,Preobrazheniye,RU,42.9019,133.9064,64.26,82,100,3.51,overcast clouds
2004,Kologriv,RU,58.8275,44.3178,44.89,93,100,9.31,overcast clouds
2005,Port Said,EG,31.2565,32.2841,75.18,78,20,11.5,few clouds
2006,Sampit,ID,-2.5333,112.95,86.72,70,38,1.43,moderate rain
2007,Qingdao,CN,36.0986,120.3719,73.0,83,75,17.9,broken clouds
2008,Burns Lake,CA,54.2331,-125.7533,45.82,92,100,2.44,overcast clouds
2009,Pimenta Bueno,BR,-11.6725,-61.1936,74.77,71,30,2.75,scattered clouds
2010,Tashara,RU,55.5195,83.5094,44.24,81,96,6.96,overcast clouds
2011,Lander,US,42.833,-108.7307,63.16,26,1,3.44,clear sky
2012,Sharanga,RU,57.1775,46.5396,45.45,85,100,13.2,overcast clouds
2013,George Town,MY,5.4112,100.3354,87.75,66,20,8.99,few clouds
